did,r_type,r_name,r_character,myroom_move,r_rarity,t_normal_shout1,t_normal_shout2,t_good_shout1,t_good_shout2,t_best_shout1,t_best_shout2,t_normal_phrase1,t_normal_phrase2,t_normal_phrase3,t_good_phrase1,t_good_phrase2,t_good_phrase3,t_best_phrase1,t_best_phrase2,t_best_phrase3,t_lobby_touch1,t_lobby_touch2,t_lobby_touch3,t_lobby_touch4,t_forest_heart,t_party_in,t_party_out,t_lobby_induce,t_lobby_present,t_lobby_end,t_dragon_appear,lactea_sorrow,lactea_bye,lactea_farewell,mail_message,party_in_induce
120011,powerdragon,땅 파워드래곤,굳건함,fly_slow,legend,파워!,이것이 파워!,파워! 또 파워!,파워를 느껴라!,용솟음 치는 파워!,파워에 몸을 맡겨!,나의 파워에는 한계가 없지!,파워가 전투의 전부는 아니라네. 대부분일 뿐이지.,근육이 나의 패션이지!,"후후, 나의 근육이 부럽나?",근육은 세상 무엇보다 달콤하지.,인생은 근육이 있을 때와 없을 때로 나뉘어 지지.,근육은 뇌와 같지. 쓰면 기분이 좋거든!,"옷 말고 근육을 입어볼 생각은 없나, 친구?",간단하잖아? 흔들리는 건 모두 지방이거든!,근력 단련 중.,"지방 한 점 없이, 화창한 날씨군!",근육은 가장 아름다운 과학이지.,할말이 있나?,이건 근육이 주는 선물.,힘을 원하는가?,힘이 빠지는군…,내 근육을 만져보겠나?,이건 근육이 주는 선물.,"오호, 만족스럽나?",,앗! 나를 보내려고?,이제 돌아갈 시간이네,넌 정말 훌륭한 테이머 였어,챙겨줘서 고마워!,내가 활약할 차례야!
120012,powerdragon,물 파워드래곤,굳건함,fly_slow,legend,파워!,이것이 파워!,파워! 또 파워!,파워를 느껴라!,용솟음 치는 파워!,파워에 몸을 맡겨!,나의 파워에는 한계가 없지!,인생은 근육이 있을 때와 없을 때로 나뉘어 지지.,근육이 나의 패션이지!,"나의 근육이 부럽나, 친구?",근육은 세상 무엇보다 달콤하지.,근육은 뇌와 같지. 쓰면 기분이 좋거든!,근육은 뇌와 같지. 쓰면 기분이 좋거든!,"옷 말고 근육을 입어볼 생각은 없나, 친구?",간단하잖아? 흔들리는 건 모두 지방이거든!,근력 단련 중.,"지방 한 점 없이, 화창한 날씨군!",근육은 가장 아름다운 과학이지.,할말이 있나?,이건 근육이 주는 선물.,힘을 원하는가?,힘이 빠지는군…,내 근육을 만져보겠나?,이건 근육이 주는 선물.,"오호, 만족스럽나?",,앗! 나를 보내려고?,이제 돌아갈 시간이네,넌 정말 훌륭한 테이머 였어,챙겨줘서 고마워!,나도 싸울 수 있어!
120014,powerdragon,빛 파워드래곤,굳건함,fly_slow,legend,파워!,이것이 파워!,파워! 또 파워!,파워를 느껴라!,용솟음 치는 파워!,파워에 몸을 맡겨!,나의 파워에는 한계가 없지!,인생은 근육이 있을 때와 없을 때로 나뉘어 지지.,근육이 나의 패션이지!,"나의 근육이 부럽나, 친구?",근육은 세상 무엇보다 달콤하지.,근육은 뇌와 같지. 쓰면 기분이 좋거든!,근육은 뇌와 같지. 쓰면 기분이 좋거든!,"옷 말고 근육을 입어볼 생각은 없나, 친구?",간단하잖아? 흔들리는 건 모두 지방이거든!,근력 단련 중.,"지방 한 점 없이, 화창한 날씨군!",근육은 가장 아름다운 과학이지.,할말이 있나?,이건 근육이 주는 선물.,힘을 원하는가?,힘이 빠지는군…,내 근육을 만져보겠나?,이건 근육이 주는 선물.,"오호, 만족스럽나?",,앗! 나를 보내려고?,이제 돌아갈 시간이네,넌 정말 훌륭한 테이머 였어,챙겨줘서 고마워!,발톱이 근질근질한데?
120015,powerdragon,어둠 파워드래곤,굳건함,fly_slow,legend,파워!,이것이 파워!,파워! 또 파워!,파워를 느껴라!,용솟음 치는 파워!,파워에 몸을 맡겨!,나의 파워에는 한계가 없지!,인생은 근육이 있을 때와 없을 때로 나뉘어 지지.,근육이 나의 패션이지!,"나의 근육이 부럽나, 친구?",근육은 세상 무엇보다 달콤하지.,근육은 뇌와 같지. 쓰면 기분이 좋거든!,근육은 뇌와 같지. 쓰면 기분이 좋거든!,"옷 말고 근육을 입어볼 생각은 없나, 친구?",간단하잖아? 흔들리는 건 모두 지방이거든!,근력 단련 중.,"지방 한 점 없이, 화창한 날씨군!",근육은 가장 아름다운 과학이지.,할말이 있나?,이건 근육이 주는 선물.,힘을 원하는가?,힘이 빠지는군…,내 근육을 만져보겠나?,이건 근육이 주는 선물.,"오호, 만족스럽나?",,앗! 나를 보내려고?,이제 돌아갈 시간이네,넌 정말 훌륭한 테이머 였어,챙겨줘서 고마워!,날 데려가면 좋은 일이 있을거야
120021,lambgon,땅 램곤,다정함,fly_normal,rare,코 잘 시간!,잠이 보약!,이불 밖은 위험해!,꿀잠의 시간!,굿나잇!,자리 펴고 누울 시간!,잠은 아모르의 축복이야.,자는 거 아니야. 조는 거야.,어라! 꿈이었구나…,잘 싸우고 싶으면 푹 자야지.,고민이 있어? 일단 자고 생각해.,일이 안 풀릴 때는 낮잠을 자야지.,잠은 매일 공짜로 얻는 행복이야.,잠자기 제일 좋은 시간은 방금 일어났을 때야.,걸으면 살고 누우면 잔다.,왠지 졸리네.,적당히 싸웠으면 그만 자야지.,이불 밖은 위험해!,무슨 일이지?,"후아암, 이거 받아…",응? 벌써 아침이야?,한숨 더 자야지…,저기 있잖아…,"후아암, 이거 받아…",한숨 자고 또 줄게.,,어? 정말이야?,그럼 가볼게,함께했던 시간 오래도록 기억할게,챙겨줘서 고마워!,내가 활약할 차례야!
120022,lambgon,물 램곤,다정함,fly_normal,rare,코 잘 시간!,잠이 보약!,이불 밖은 위험해!,꿀잠의 시간!,굿나잇!,이번 곡은 숙면의 물소리!,잠은 아모르의 축복이야.,자는 거 아니야. 조는 거야.,어라! 꿈이었구나…,잘 싸우고 싶으면 푹 자야지.,고민이 있어? 일단 자고 생각해.,일이 안 풀릴 때는 낮잠을 자야지.,잠은 매일 공짜로 얻는 행복이야.,잠자기 제일 좋은 시간은 방금 일어났을 때야.,물소리는 가장 좋은 자장가.,왠지 졸리네.,적당히 싸웠으면 그만 자야지.,이불 밖은 위험해!,무슨 일이지?,"후아암, 이거 받아…",응? 벌써 아침이야?,한숨 더 자야지…,저기 있잖아…,"후아암, 이거 받아…",한숨 자고 또 줄게.,,어? 정말이야?,그럼 가볼게,함께했던 시간 오래도록 기억할게,챙겨줘서 고마워!,나도 싸울 수 있어!
120023,lambgon,불 램곤,다정함,fly_normal,rare,코 잘 시간!,잠이 보약!,이불 밖은 위험해!,꿀잠의 시간!,굿나잇!,수면 최적 온도 설정!,잠은 아모르의 축복이야.,자는 거 아니야. 조는 거야.,어라! 꿈이었구나…,잘 싸우고 싶으면 푹 자야지.,고민이 있어? 일단 자고 생각해.,일이 안 풀릴 때는 낮잠을 자야지.,잠은 매일 공짜로 얻는 행복이야.,잠자기 제일 좋은 시간은 방금 일어났을 때야.,따뜻하니 졸려…,왠지 졸리네.,적당히 싸웠으면 그만 자야지.,이불 밖은 위험해!,무슨 일이지?,"후아암, 이거 받아…",응? 벌써 아침이야?,한숨 더 자야지…,저기 있잖아…,"후아암, 이거 받아…",한숨 자고 또 줄게.,,어? 정말이야?,그럼 가볼게,함께했던 시간 오래도록 기억할게,챙겨줘서 고마워!,발톱이 근질근질한데?
120024,lambgon,빛 램곤,다정함,fly_normal,rare,코 잘 시간!,잠이 보약!,이불 밖은 위험해!,꿀잠의 시간!,굿나잇!,멜라토닌 최대 충전!,잠은 아모르의 축복이야.,자는 거 아니야. 조는 거야.,어라! 꿈이었구나…,잘 싸우고 싶으면 푹 자야지.,고민이 있어? 일단 자고 생각해.,일이 안 풀릴 때는 낮잠을 자야지.,잠은 매일 공짜로 얻는 행복이야.,잠자기 제일 좋은 시간은 방금 일어났을 때야.,비타민 D를 생성 중이야.,왠지 졸리네.,적당히 싸웠으면 그만 자야지.,이불 밖은 위험해!,무슨 일이지?,"후아암, 이거 받아…",응? 벌써 아침이야?,한숨 더 자야지…,저기 있잖아…,"후아암, 이거 받아…",한숨 자고 또 줄게.,,어? 정말이야?,그럼 가볼게,함께했던 시간 오래도록 기억할게,챙겨줘서 고마워!,날 데려가면 좋은 일이 있을거야
120025,lambgon,어둠 램곤,다정함,fly_normal,rare,코 잘 시간!,잠이 보약!,이불 밖은 위험해!,꿀잠의 시간!,굿나잇!,눈꺼풀이 천근만근!,잠은 아모르의 축복이야.,자는 거 아니야. 조는 거야.,어라! 꿈이었구나…,잘 싸우고 싶으면 푹 자야지.,고민이 있어? 일단 자고 생각해.,일이 안 풀릴 때는 낮잠을 자야지.,잠은 매일 공짜로 얻는 행복이야.,잠자기 제일 좋은 시간은 방금 일어났을 때야.,어둠은 가장 좋은 베개야.,왠지 졸리네.,적당히 싸웠으면 그만 자야지.,이불 밖은 위험해!,무슨 일이지?,"후아암, 이거 받아…",응? 벌써 아침이야?,한숨 더 자야지…,저기 있잖아…,"후아암, 이거 받아…",한숨 자고 또 줄게.,,어? 정말이야?,그럼 가볼게,함께했던 시간 오래도록 기억할게,챙겨줘서 고마워!,내가 활약할 차례야!
120051,applecheek,땅 애플칙,재빠르고 스마트,fly_fast,common,아침에는 사과!,달콤하게!,껍질째 드세요!,"여물지 않은, 이 맛!",웰빙의 시간!,어서 사과하세요!,비타민은 섭취하고 있나요?,많이 먹는다고 좋은 건 아니에요.,만병통치약도 아니에요.,더 상냥하게 대해주길 바래요.,아직도 좀 무서우니까,손가락 걸고 약속.,당신과 함께라서 기뻐요.,당신은 나의 비타민.,언제까지 함께 해요.,안녕!,비타민 합성하기 좋은 날씨.,햇볕을 쬐어야 건강해져요.,먹는 것만 비타민이 아니거든요.,수확의 기쁨!,웰빙의 시간,너무해!,수확할 시간이야.,수확의 기쁨!,다음 수확을 기대해.,,그런 생각이로군,헤어질 시간이다,그동안 정말 즐거웠어,챙겨줘서 고마워!,발톱이 근질근질한데?
